feature,importance
upper_wick,0.0010566037735848966
return_15m,0.0008301886792452696
lower_wick,0.0007547169811320976
return_1h,0.0006792452830188589
vs_SPY_5m,0.0006792452830188589
atr_14,0.0005283018867924483
vs_QQQ_5m,0.0005283018867924483
body_size,0.0004528301886792763
day_of_week,0.00045283018867925406
XLC_ret_30m,0.00037735849056605983
hour_cos,0.00037735849056605983
bb_lower,0.00037735849056603766
dow_cos,0.00037735849056603766
price_vs_ema9,0.00030188679245284343
volume,0.00022641509433962703
XLK_ret_30m,0.00022641509433962703
volatility_1h,0.00022641509433962703
corr_XLK_2h,0.00015094339622643283
VGT_close,0.00015094339622643283
return_5m,0.00015094339622643283
vs_XLK_5m,0.00015094339622643283
beta_XLK_2h,0.00015094339622643283
rel_volume,7.547169811321641e-05
hour_sin,7.547169811321641e-05
vs_IWM_5m,7.547169811321641e-05
